product_id,stock_units
85123A,211
71053,111
84406B,136
84029G,136
84029E,138
22752,122
21730,246
22633,22
22632,283
84879,212
22745,185
22748,277
22749,119
22310,125
84969,166
22623,98
22622,146
21754,73
21755,159
21777,94
48187,241
22960,102
22913,169
22912,106
22914,285
21756,86
22728,100
22727,215
22726,34
21724,144
21883,203
10002,39
21791,117
21035,294
22326,104
22629,189
22659,25
22631,179
22661,260
21731,237
22900,181
21913,40
22540,194
22544,226
22492,137
POST,151
22086,117
20679,200
37370,150
21871,118
21071,72
21068,67
82483,78
82486,286
82482,249
82494L,281
21258,87
22114,148
21733,20
22386,90
85099C,177
21033,126
20723,24
84997B,77
84997C,158
21094,39
20725,258
21559,88
22352,76
21212,194
21975,34
21977,178
84991,209
84519A,229
85183B,139
85071B,47
21931,276
21929,241
22961,200
22139,133
84854,214
22411,243
82567,21
21672,155
22774,286
22771,251
71270,36
22262,73
22637,287
21934,275
21169,288
21166,51
21175,72
37444A,35
37444C,232
22086,35
22083,40
84971S,109
47580,205
22261,205
84832,297
22644,227
21533,144
21557,278
15056BL,229
15056N,183
22646,162
22176,28
22438,276
22778,66
22719,203
21523,192
21912,78
21832,223
22379,259
22381,210
22798,214
22926,263
22839,59
22838,154
22783,273
82484,130
84755,294
22464,211
21324,259
22457,84
22469,68
22470,229
22224,185
21340,218
22189,54
22427,62
22428,274
22424,98
22783,278
22663,283
85049A,40
22168,79
22662,71
84880,197
85099C,205
85099B,71
79321,232
22780,38
22779,58
22466,176
21731,85
21523,40
21363,144
21411,84
22318,56
22915,98
22922,124
22969,35
22923,26
21115,240
22469,82
22242,284
22941,22
21622,177
35004C,195
35004G,190
85014B,266
85014A,229
22193,47
22192,23
22191,164
22195,92
22196,170
22960,229
22962,178
22963,50
22968,208
84970S,118
22910,140
20668,147
22197,51
22198,195
21533,166
21080,57
21094,289
21086,249
21786,250
22654,53
21485,85
84030E,244
22174,123
22969,55
22150,223
22619,135
21891,238
21889,190
22827,255
22127,252
22128,287
22502,143
22338,290
22180,183
21506,49
22866,230
22865,70
22632,236
21485,140
22349,85
22558,289
85152,216
22652,271
22188,78
21212,103
21484,187
21314,37
22730,280
22729,243
22114,189
22867,297
22866,243
15056BL,261
22803,51
35004B,103
35004C,29
21980,87
21844,205
22468,296
22752,23
48185,156
22632,25
22865,79
21232,209
22064,149
22449,190
22835,21
22112,177
21479,280
22111,62
22110,114
22098,282
22100,104
22766,253
22451,103
22549,147
84744,161
85049E,67
21328,247
17091A,53
22473,62
84509A,62
84510A,56
22767,187
22768,47
21463,122
21464,169
20820,240
85150,240
22117,270
48129,39
82580,117
82578,190
82581,152
22413,278
21907,263
22441,236
21122,84
22851,146
22810,77
22809,230
22435,136
20966,295
20963,183
20961,294
22068,46
21743,115
21744,79
84709B,251
21592,63
21587,28
20992,240
85123A,40
22804,195
82483,242
20749,117
22382,139
20726,73
22384,154
22467,137
84625C,83
84625A,23
21108,244
22848,250
47570B,134
84030E,54
22837,116
22867,59
POST,175
22297,285
22772,268
22773,51
22805,130
22197,177
21125,49
21126,28
85049C,177
85049D,109
85049G,228
21061,206
21063,72
21062,36
84380,264
84378,183
22964,58
21213,40
22417,102
84992,147
22383,161
20728,49
20727,79
22296,84
20914,27
22537,267
22533,59
20982,288
21915,69
21914,202
21544,96
22813,124
84029E,120
84375,65
22418,271
22178,94
84970L,174
21733,39
22465,127
84949,283
20685,76
48194,249
22488,258
22219,182
22610,31
22716,255
22706,250
22371,89
21210,154
22553,63
16237,106
22714,160
22812,191
84347,176
22736,132
22620,100
21705,102
90199C,149
22785,112
22975,220
22972,138
22568,168
85116,179
22664,299
21609,41
21866,146
20669,39
90129F,62
90210B,209
21955,189
72802C,122
22109,45
22531,238
21811,218
22183,127
21678,35
21676,55
85169B,262
16238,193
20668,146
84906,56
21867,122
22075,123
21326,50
21065,124
22074,170
20713,55
21116,138
22633,183
22198,160
21824,40
21823,41
22153,71
85099B,274
85099F,89
20717,51
22328,151
22327,149
22630,92
21245,283
21244,238
21242,218
21243,45
22273,271
22940,69
22759,186
21880,219
21738,278
22077,271
21448,29
22837,239
22243,110
22141,132
22144,99
21739,183
22271,133
22274,180
22751,166
21034,67
22570,162
22569,205
22968,159
22902,260
21710,122
21708,248
21711,135
22179,114
21706,265
85184C,139
22988,226
20750,183
22952,28
22910,117
22739,185
22738,292
22909,211
35591T,179
22186,237
22695,85
22470,267
22580,224
22147,224
22130,104
