product_id,product_name,unit_cost,category,MOQ,lead_time_days
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2.55,Toys,15,6
71053,WHITE METAL LANTERN,3.39,Gifts,23,4
84406B,CREAM CUPID HEARTS COAT HANGER,2.75,Stationery,15,5
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3.39,Home,12,6
84029E,RED WOOLLY HOTTIE WHITE HEART.,3.39,Stationery,14,3
22752,SET 7 BABUSHKA NESTING BOXES,7.65,Toys,10,3
21730,GLASS STAR FROSTED T-LIGHT HOLDER,4.25,Gifts,24,5
22633,HAND WARMER UNION JACK,1.85,Gifts,28,2
22632,HAND WARMER RED POLKA DOT,1.85,Toys,26,2
84879,ASSORTED COLOUR BIRD ORNAMENT,1.69,Home,14,3
22745,POPPY'S PLAYHOUSE BEDROOM ,2.1,Stationery,20,4
22748,POPPY'S PLAYHOUSE KITCHEN,2.1,Toys,11,2
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3.75,Stationery,25,6
22310,IVORY KNITTED MUG COSY ,1.65,Toys,17,4
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,4.25,Home,19,2
22623,BOX OF VINTAGE JIGSAW BLOCKS ,4.95,Home,15,4
22622,BOX OF VINTAGE ALPHABET BLOCKS,9.95,Gifts,26,6
21754,HOME BUILDING BLOCK WORD,5.95,Stationery,13,6
21755,LOVE BUILDING BLOCK WORD,5.95,Home,23,3
21777,RECIPE BOX WITH METAL HEART,7.95,Stationery,26,4
48187,DOORMAT NEW ENGLAND,7.95,Gifts,16,5
22960,JAM MAKING SET WITH JARS,4.25,Home,17,4
22913,RED COAT RACK PARIS FASHION,4.95,Home,20,5
22912,YELLOW COAT RACK PARIS FASHION,4.95,Gifts,10,2
22914,BLUE COAT RACK PARIS FASHION,4.95,Gifts,23,3
21756,BATH BUILDING BLOCK WORD,5.95,Gifts,21,4
22728,ALARM CLOCK BAKELIKE PINK,3.75,Stationery,26,3
22727,ALARM CLOCK BAKELIKE RED ,3.75,Stationery,21,2
22726,ALARM CLOCK BAKELIKE GREEN,3.75,Home,21,5
21724,PANDA AND BUNNIES STICKER SHEET,0.85,Gifts,22,5
21883,STARS GIFT TAPE ,0.65,Toys,16,4
10002,INFLATABLE POLITICAL GLOBE ,0.85,Toys,22,2
21791,VINTAGE HEADS AND TAILS CARD GAME ,1.25,Gifts,20,2
21035,SET/2 RED RETROSPOT TEA TOWELS ,2.95,Stationery,28,4
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,2.95,Home,10,6
22629,SPACEBOY LUNCH BOX ,1.95,Toys,15,3
22659,LUNCH BOX I LOVE LONDON,1.95,Toys,27,3
22631,CIRCUS PARADE LUNCH BOX ,1.95,Home,14,3
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,0.85,Home,29,2
21731,RED TOADSTOOL LED NIGHT LIGHT,1.65,Gifts,12,3
22900, SET 2 TEA TOWELS I LOVE LONDON ,2.95,Toys,13,6
21913,VINTAGE SEASIDE JIGSAW PUZZLES,3.75,Stationery,24,5
22540,MINI JIGSAW CIRCUS PARADE ,0.42,Home,28,3
22544,MINI JIGSAW SPACEBOY,0.42,Gifts,14,6
22492,MINI PAINT SET VINTAGE ,0.65,Gifts,18,3
POST,POSTAGE,18.0,Gifts,24,3
